Time,Country Name,GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],Exports of goods and services (constant 2015 US$) [NE.EXP.GNFS.KD],"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],Net official aid received (constant 2018 US$) [DT.ODA.OATL.KD],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Net investment in nonfinancial assets (% of GDP) [GC.NFN.TOTL.GD.ZS],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]"
1990,Philippines,0.4493529789,1739.664764,18143512064,51.30170984,1.926120435,,66.366,2.452106639,1.196075237,12.97128127
1990,Rwanda,-2.558636285,372.3800847,224735327.7,49.79692027,4.725729727,,33.413,6.278430487,0.3003702925,13.46146891
1990,Samoa,-4.927533427,2756.654324,,,2.161599518,,66.281,,5.247829973,9.006439507
1990,Sao Tome and Principe,,,,,,,58.247,,,
1990,Senegal,-3.684407786,1016.344622,1950364093,,1.914465628,,57.202,,0.7697659117,-0.1668723772
1990,Sierra Leone,1.787006677,553.7179709,119894231.7,,19.7972836,,38.563,,4.992681776,70.59154925
1990,Solomon Islands,-0.6142919886,1994.476298,76193259.25,,8.122781633,,64.365,,4.861910497,34.16548822
1990,Somalia,-2.736146526,,,,13.48648247,,45.378,,0.6095671102,215.4668007
1990,South Sudan,,,,,,,43.524,,,
1990,Sri Lanka,5.054980966,1253.719335,4810465309,96.58062551,0.4670317742,,69.509,3.634736345,0.5397428387,20.06327529
1990,Sudan,-7.87375273,772.9579626,21716585207,,0.00177562271,,55.5,,-0.2508734324,66.23558835
1990,Syrian Arab Republic,4.47776247,,,,27.53033087,,70.553,,0.3249753919,19.33487015
1990,Tajikistan,-3.119684126,1341.760096,,,0.7833082601,,58.824,,,6.289912999
1990,Tanzania,3.687664467,515.6939127,886036566.2,,11.49973782,,50.206,,0.0002348110553,22.44918568
1990,Timor-Leste,,,,,,,48.492,,,
1990,Togo,-2.774177378,531.2845709,857988577.4,,6.111693295,,55.887,,1.120074231,2.975944444
1990,Tunisia,5.562313862,1995.938966,7140092053,54.7703801,6.906911161,,68.792,4.146749632,0.6299086722,4.476504478
1990,Uganda,2.846015478,372.8240752,331119472.2,,15.8107071,,45.853,,-0.1373014022,44.38008967
1990,Ukraine,-6.558926109,3965.428243,117546056134,,3.44841148,421279998.8,70.09756098,,,16.339579
1990,Uzbekistan,-1.331989736,1467.921251,,,9.938969275,,66.481,,,3.979689353
1990,Vanuatu,8.819768903,2640.379223,,23.41696596,0.9054619793,,64.721,0,7.763653729,-0.9681043723
1990,Vietnam,2.877013895,541.9003748,4354754670,,11.51888635,,70.551,,2.78132276,42.09509813
1990,West Bank and Gaza,,,,,,,68.048,,,
1990,"Yemen, Rep.",,2042.541382,,,29.78370124,,57.346,,-2.317996038,
1990,Zambia,-3.16381196,851.1848412,,244.3805364,20.98182466,,49.249,,6.170063526,106.38892
1990,Zimbabwe,4.13183879,1623.930176,3998161385,,4.212482292,,58.1,,-0.1389583621,-0.920431046
1995,Afghanistan,,,,,,,53.398,,,
1995,Algeria,1.836410561,2834.263395,33084611492,,16.16789126,,68.54,,0.000002394388588,28.57703753
1995,Angola,11.35953867,2146.455653,,,42.40854253,,45.246,,8.495021078,1825.495149
1995,Bangladesh,2.901244279,572.4384537,3038511612,,0.4554464631,,62.002,,0.004998378188,7.144938703
1995,Belize,-1.924604089,3816.45431,342759414.5,36.29438003,0.6431995103,,69.439,5.887197836,3.392849227,6.052271144
1995,Benin,2.609386016,823.5492865,1000047050,,9.136399179,,55.203,,-0.35666864,15.09945191
1995,Bhutan,6.528561583,931.8786036,136948671.6,28.26394923,5.869388574,,56.636,16.86133961,0.01721378969,8.284382763
1995,Bolivia,2.542198796,1920.317934,3898835803,57.41137921,5.052149019,,59.276,3.074911603,5.847909232,11.42728592
1995,Burkina Faso,2.852924336,365.2805352,497138043.6,,13.84372632,,49.445,,0.4125510836,6.769569038
1995,Burundi,-9.274659565,350.9509864,,128.9192191,24.02891351,,46.758,6.854501573,0.1981073785,16.10271174
1995,Cabo Verde,11.29076697,1236.561914,,,0.6919681509,,66.224,,5.37425869,-1.546899309
1995,Cambodia,6.41494759,387.7446603,786289581.4,,8.326751947,,55.189,,4.382185009,8.00418016
1995,Cameroon,0.6623642777,971.6187245,3678109163,,9.843939772,,51.554,,0.150750239,4.992791916
1995,Central African Republic,4.284583746,486.3657158,,,12.3457444,,46.53,,0.5559102426,9.897975858
1995,Chad,-2.072005585,393.0779446,,,14.21634866,,47.426,,2.255420134,8.833127266
1995,Comoros,0.7520629819,1155.113802,42626817.6,,1.689939328,,58.722,,0.2232397286,8.320974495
1995,"Congo, Dem. Rep.",-2.505026152,485.4169627,1435548623,232.9362311,36.31854269,,49.111,,-0.3957829766,466.4073586
1995,"Congo, Rep.",1.097696611,2113.19155,3999857493,,36.99527053,,52.583,,5.329956171,3.39592951
1995,Cote d'Ivoire,3.622816758,1815.258045,,171.0654426,5.180846518,,51.569,,1.925072852,11.04378986
1995,Djibouti,,,,,0.6324788564,,57.065,,0.6466491815,
1995,"Egypt, Arab Rep.",2.563810874,2185.302175,13862240143,,8.437691077,,66.779,4.208823529,0.9940284314,11.3997415
1995,El Salvador,3.494090969,2826.878276,2557218293,,0.7792319542,,67.277,,0.4263331555,10.92810396
1995,Eritrea,3.521429964,,,,8.865724327,,52.316,,,9.810040354
1995,Eswatini,2.652537786,2330.265922,1002701914,,4.116517566,,57.422,,3.04630355,16.64938065
1995,Ethiopia,2.654450883,243.598443,,82.62967636,31.64930357,,49.303,4.705742103,0.1844993277,12.70636909
1995,"Gambia, The",-2.189363154,682.9385402,,,3.036979907,,53.889,,0.9833687971,3.9632505
1995,Ghana,1.344209241,917.5890152,,,12.82341241,,57.528,,1.647296722,43.04533064
1995,Guinea,1.895045602,587.6179195,,,15.15818882,,51.744,,0.02081917338,5.951338301
1995,Guinea-Bissau,2.242198658,700.0042168,,,26.06173991,,48.658,,0.01575008259,44.73003822
1995,Haiti,7.879959813,1223.507519,110566584.7,,1.225194626,,55.829,,0.2630350504,15.9633774
1995,Honduras,3.212493781,1753.85641,4757975603,,2.451798615,,68.871,,0.9350259788,23.71396868
1995,India,5.529881349,618.3677694,53641776712,47.4916413,2.53085254,,60.32,0.1934334365,0.5949862584,9.06270222
1995,Indonesia,6.562205374,1934.123433,72239852968,30.80432488,5.526252046,,64.291,4.965742537,2.15007984,9.882045131
1995,"Iran, Islamic Rep.",0.8656624673,3599.604811,69706465003,,20.12183295,,68.377,6.832339972,0.01763133843,38.09523398
1995,Kenya,1.331405874,1037.269421,4955836910,,7.286247497,,53.486,,0.4674742893,11.22107084
1995,Kiribati,-1.348499665,1463.483558,,,0.07891581905,,61.539,,0.6881425914,1.333333333
1995,"Korea, Dem. People's Rep.",,,,,,,66.537,,,
1995,Kyrgyz Republic,-6.363279166,587.3052078,1500185109,,0.6075658022,,65.7902439,,5.785004738,42.03108922
1995,Lao PDR,4.587842757,760.1571349,,,9.054898702,,55.851,,5.392573986,19.68536442
1995,Lesotho,1.263037045,659.6680304,110021833.6,,4.075163731,,55.782,,2.412879506,12.81651843
1995,Liberia,,,,,,,48.314,,,
1995,Madagascar,-1.406451416,473.962757,1303404369,,7.721875805,,54.616,,0.2529940677,49.03611913
1995,Malawi,15.55822335,275.2046509,,,18.31414166,,45.846,,0.4038079035,77.21958346
1995,Mali,-1.719136133,511.8975812,1053713413,,6.176677842,,46.573,,4.117231002,15.8089839
1995,Mauritania,7.061525067,1417.656162,1300436370,,1.783559953,,60.426,,0.3341432097,2.8419201
1995,"Micronesia, Fed. Sts.",5.516749966,2908.253799,,,0.01590584307,,64.049,,,2.247767526
1995,Mongolia,5.564398395,1467.797561,,37.07128268,12.67368971,,61.211,2.744468859,0.674854439,60.27242543
1995,Morocco,-6.857030561,1727.31099,11092313950,68.39491528,0.470499317,,66.846,3.025933402,0.8577141286,7.538402934
1995,Mozambique,-1.275165246,219.1927749,286747500.3,,19.87274659,,47.123,,1.551765425,51.54316808
1995,Myanmar,5.6857279,207.7256838,,,,,58.46,,,19.60084363
1995,Nepal,0.9020105217,493.6546022,,66.18364321,1.388811488,,58.6,,0,6.30086156
1995,Nicaragua,3.790680574,1232.313108,976725950.6,,1.990784839,,67.344,2.247725525,2.147099242,13.3926838
1995,Niger,-1.018779239,432.5830583,463240410.5,,9.732677031,,46.641,,0.09701489437,4.249461323
1995,Nigeria,-2.530052289,1414.101377,16412261307,,20.56816481,,45.854,,0.7621955759,75.40165319
1995,Pakistan,2.067480993,1008.224761,14975683769,,0.851591852,,61.505,,1.191752908,13.00648446
1995,Papua New Guinea,-5.575342449,2146.540816,,53.66200139,26.79893731,,58.073,1.73298142,9.805073867,15.85133079
1995,Philippines,2.273771865,1717.564574,28662943226,61.06374193,0.9075542991,,68.231,,1.994064024,7.55087024
1995,Rwanda,37.53546061,296.7281532,66056763.18,,12.58172647,,31.037,,0.1546150652,51.26658306
1995,Samoa,5.819877541,2784.851484,,,2.024500588,,67.249,,1.529801797,-6.975462793
1995,Sao Tome and Principe,,,,,,,58.795,,,
